Text,Categories,Action Needed
সারা শরীরের চামড়া হঠাৎ লাল হয়ে ফুলে গেছে এবং শ্বাস নিতে প্রচণ্ড কষ্ট হচ্ছে।,Emergency,Immediately go to emergency department or call ambulance
ত্বকের যত্নে সানস্ক্রিন ব্যবহারের সঠিক নিয়ম এবং এসপিএফ (SPF) এর গুরুত্ব সম্পর্কে জানতে চাই।,General Query,"No immediate action required, informational response sufficient"
বগলে একটা ছোট লাল ফুসকুড়ি হয়েছে যা খুব চুলকায় এবং ঘামলে জ্বালাপোড়া করে।,Routine,Schedule a regular medical consultation
কুঁচকির ভাঁজে মাঝেমধ্যে সাদাটে দাগ দেখা যায় যা চুলকালে কষ বা রস বের হয়।,Routine,Schedule a regular medical consultation
শরীরের চামড়ায় সরাসরি অ্যাসিড বা ক্ষতিকারক কেমিক্যাল পড়ে গভীর ক্ষত তৈরি হয়েছে।,Emergency,Immediately go to emergency department or call ambulance
ব্রণ বা একনি প্রতিরোধের সাধারণ উপায় এবং ঘরোয়া প্রতিকার সম্পর্কে তথ্য প্রয়োজন।,General Query,"No immediate action required, informational response sufficient"
চামড়ার নিচে একটা শক্ত চাকা যা দিন দিন বড় হচ্ছে এবং উপরের চামড়া কুঁচকে কালচে হয়ে যাচ্ছে।,Urgent,Seek medical care within 24–48 hours
ত্বকের ভাঁজে কালো ছোপ পড়া (Acanthosis Nigricans) কি ডায়াবেটিসের লক্ষণ? তথ্য চাই।,General Query,"No immediate action required, informational response sufficient"
হঠাৎ করে সারা শরীর চুলকে চাকা চাকা হয়ে ফুলে গেছে আর ঠোঁট ও চোখ ফুলে যাচ্ছে।,Emergency,Immediately go to emergency department or call ambulance
"রোদে গেলে চামড়া লাল হয়ে যায় এবং ফোস্কা পড়ে, এর প্রতিকারে সাধারণ পরামর্শ কী?",General Query,"No immediate action required, informational response sufficient"
বগলের নিচে একটা বড় ফোঁড়া হয়েছে যা লাল হয়ে ফুলে আছে আর হাত নাড়াতে খুব ব্যথা লাগে।,Urgent,Seek medical care within 24–48 hours
শরীরের একপাশে অনেকগুলো ছোট দানা লতানোভাবে উঠেছে এবং আগুনের মতো জ্বলছে।,Urgent,Seek medical care within 24–48 hours
পায়ের বা বাহুর চামড়া হঠাৎ লাল হয়ে গরম হয়ে ফুলে গেছে আর খুব জ্বর আসছে।,Urgent,Seek medical care within 24–48 hours
বগলের চামড়া খুব খসখসে হয়ে কালো হয়ে গেছে আর সেখান থেকে দুর্গন্ধ বের হয়।,Routine,Schedule a regular medical consultation
ত্বকের উজ্জ্বলতা বাড়ানোর জন্য স্টেরয়েড ক্রিম ব্যবহারের ঝুঁকি সম্পর্কে তথ্য জানতে চাই।,General Query,"No immediate action required, informational response sufficient"
সারা শরীরের চামড়া মাছের আঁশের মতো উঠে যাচ্ছে আর প্রচণ্ড জ্বালাপোড়া করছে।,Urgent,Seek medical care within 24–48 hours
কুঁচকিতে সরাসরি কোনো ধারালো চোট লেগেছে আর রক্তপাত থামানো যাচ্ছে না।,Emergency,Immediately go to emergency department or call ambulance
শরীরের কোনো তিল থেকে হঠাৎ রক্ত পড়ছে এবং তিলের চারপাশটা আঁকাবাঁকা হয়ে বড় হচ্ছে।,Urgent,Seek medical care within 24–48 hours
শীতকালে ত্বক অতিরিক্ত ফেটে যাওয়া রোধে ময়শ্চারাইজার ব্যবহারের সাধারণ নিয়মাবলী কী?,General Query,"No immediate action required, informational response sufficient"
বগলে ছোট ছোট আঁচিল বা মাংসের টুকরো (Skin Tag) হওয়া কি কোনো ভয়ের কারণ?,General Query,"No immediate action required, informational response sufficient"
চামড়ার নিচে পোকা হাঁটার মতো সুড়সুড়ি অনুভূতি হয় এবং রাতে চুলকানি বাড়ে।,Routine,Schedule a regular medical consultation
হঠাৎ করে সারা শরীরে বড় বড় ফোসকা পড়ছে এবং মুখ ও চোখের চামড়া উঠে যাচ্ছে।,Emergency,Immediately go to emergency department or call ambulance
একজিমা বা দীর্ঘস্থায়ী চর্মরোগ নিয়ন্ত্রণে রাখার সাধারণ খাবার ও অভ্যাস সম্পর্কে তথ্য চাই।,General Query,"No immediate action required, informational response sufficient"
পায়ের আঙুলের ফাঁকে পচন ধরেছে এবং চামড়া একদম কালো হয়ে পচা গন্ধ আসছে।,Emergency,Immediately go to emergency department or call ambulance
ত্বকের স্ট্রেচ মার্ক বা ফাটা দাগ কমানোর কি কোনো কার্যকরী সাধারণ উপায় আছে?,General Query,"No immediate action required, informational response sufficient"
শরীরের চামড়ায় সরাসরি গরম তেল বা পানি পড়ে ফোসকা গলে গিয়ে ঘা হয়ে গেছে।,Urgent,Seek medical care within 24–48 hours
বগলে ঘামাচির মতো ছোট ছোট লাল দানা যা গরমে অনেক বাড়ে আর জ্বালা করে।,Routine,Schedule a regular medical consultation
ত্বকের বায়োপসি পরীক্ষা কেন করা হয় এবং এর সাধারণ প্রক্রিয়া সম্পর্কে জানতে চাই।,General Query,"No immediate action required, informational response sufficient"
হঠাৎ করে নখের চারপাশের চামড়া ফুলে লাল হয়ে গেছে আর টিপলে পুঁজ বের হচ্ছে।,Urgent,Seek medical care within 24–48 hours
শরীরের যেকোনো অংশে সাদা দাগ বা ভিটিলিগো হওয়ার কারণ ও প্রতিকার সম্পর্কে তথ্য দিন।,General Query,"No immediate action required, informational response sufficient"
কুঁচকির ভাঁজে ছোট ছোট গোটা হয়েছে যা টিপলে শক্ত লাগে কিন্তু ব্যথা নেই।,Routine,Schedule a regular medical consultation
অ্যান্টিসেপটিক সাবান কি প্রতিদিন ত্বকে ব্যবহার করা নিরাপদ? সাধারণ তথ্য চাই।,General Query,"No immediate action required, informational response sufficient"
বগলের নিচে লসিকা গ্রন্থি বা গ্ল্যান্ড ফুলে মটরদানার মতো বড় হয়ে আছে।,Urgent,Seek medical care within 24–48 hours
চামড়া কুঁচকে যাওয়া বা বলিরেখা কমানোর জন্য কি অ্যান্টি-এজিং ক্রিম কাজ করে?,General Query,"No immediate action required, informational response sufficient"
"হঠাৎ সারা শরীর হলুদ হয়ে গেছে, এমনকি হাতের তালু ও চোখের চামড়াও।",Urgent,Seek medical care within 24–48 hours
রোদে পোড়া বা সানবার্ন হলে প্রাথমিক ঘরোয়া চিকিৎসার সাধারণ উপায়গুলো কী কী?,General Query,"No immediate action required, informational response sufficient"
বগলে অতিরিক্ত ঘাম হওয়া কমানোর জন্য কি বিশেষ কোনো পাউডার বা ওষুধ আছে?,General Query,"No immediate action required, informational response sufficient"
পায়ের পাতায় মোজা পরলে চামড়া ভিজে সাদা হয়ে যায় এবং খুব চুলকায়।,Routine,Schedule a regular medical consultation
ত্বকের অ্যালার্জি টেস্ট করার নিয়ম এবং এটি কখন করা জরুরি সে বিষয়ে তথ্য চাই।,General Query,"No immediate action required, informational response sufficient"
চামড়ার ওপর ছুলি বা সাদা ছোপ হওয়ার কারণ ও সাধারণ মলম সম্পর্কে জানতে চাই।,General Query,"No immediate action required, informational response sufficient"
শরীরের ভাঁজে ভাঁজে ফাঙ্গাস ইনফেকশন কেন হয় এবং তা প্রতিরোধের উপায় কী?,General Query,"No immediate action required, informational response sufficient"
কুঁচকিতে একটি বড় পিণ্ড যা হাঁটলে টানে এবং সাথে প্রচণ্ড জ্বর আসছে গত দুইদিন।,Urgent,Seek medical care within 24–48 hours
ত্বকের সুরক্ষায় ভিটামিন-ই ক্যাপসুল কি সরাসরি মুখে মাখা নিরাপদ? তথ্য চাই।,General Query,"No immediate action required, informational response sufficient"
সারা শরীরের চামড়া হঠাৎ পুড়ে যাওয়ার মতো লাল হয়ে গেছে কোনো ওষুধ খাওয়ার পর।,Emergency,Immediately go to emergency department or call ambulance
ব্রণের দাগ দূর করার আধুনিক লেজার চিকিৎসা সম্পর্কে সাধারণ তথ্য প্রয়োজন।,General Query,"No immediate action required, informational response sufficient"
"চামড়ার ওপর কালচে বেগুনি দাগ যা টিপলে ফ্যাকাশে হয় না, এটি কিসের লক্ষণ?",Urgent,Seek medical care within 24–48 hours
হঠাৎ কোনো রাসায়নিক ছিিটকে চোখে ও মুখের চামড়ায় পড়ে জ্বলে যাচ্ছে।,Emergency,Immediately go to emergency department or call ambulance
ত্বকের রুক্ষতা দূর করতে প্রাকৃতিক তেলের ব্যবহার সম্পর্কে সাধারণ তথ্য জানতে চাই।,General Query,"No immediate action required, informational response sufficient"
কুঁচকিতে ছোট ছোট ফুসকুড়ি যা থেকে সাদা রস বের হয় এবং খুব দুর্গন্ধ ছড়ায়।,Urgent,Seek medical care within 24–48 hours
বগলে লোম পরিষ্কার করার পর জায়গাটা লাল হয়ে ফুলে আছে আর প্রচণ্ড জ্বলছে।,Routine,Schedule a regular medical consultation
ত্বকের সুস্থতায় প্রতিদিন কত লিটার পানি পান করা জরুরি? পরামর্শ চাই।,General Query,"No immediate action required, informational response sufficient"
চামড়ার ওপর একটা ঘা যা অনেকদিন ধরে ওষুধ লাগালেও সারছে না এবং রক্ত বের হয়।,Urgent,Seek medical care within 24–48 hours
সারা শরীরের চামড়া অবশ হয়ে গেছে এবং হাত দিলে কোনো অনুভূতি পাচ্ছি না।,Emergency,Immediately go to emergency department or call ambulance
কুঁচকিতে ফোঁড়া পেকে নালী হয়ে গেছে এবং ভেতর থেকে পুঁজের সাথে রক্ত আসছে।,Urgent,Seek medical care within 24–48 hours
ত্বকের মরা চামড়া দূর করার বা এক্সফোলিয়েশনের সঠিক নিয়ম সম্পর্কে তথ্য চাই।,General Query,"No immediate action required, informational response sufficient"
বগলে কোনো পোকা কামড়ানোর পর সারা শরীর চুলকে ফুলে গিয়ে রোগী নীল হয়ে যাচ্ছে।,Emergency,Immediately go to emergency department or call ambulance
শরীরের চামড়া খুব পাতলা হয়ে গেছে এবং সামান্য ঘষাতেই ছিঁড়ে রক্ত বের হয়।,Routine,Schedule a regular medical consultation
কুঁচকির ভাঁজে কালো ছোপ পড়া কমানোর কি কোনো নিরাপদ ঘরোয়া উপায় আছে?,General Query,"No immediate action required, informational response sufficient"
চামড়ার ওপর সুড়সুড়ি অনুভূতি এবং সাথে ছোট ছোট কালো বিন্দু দেখা যাচ্ছে।,Routine,Schedule a regular medical consultation
বগলের নিচে একটা শক্ত রগের মতো ফুলে আছে যা টিপলে খুব ব্যথা লাগে।,Urgent,Seek medical care within 24–48 hours
কুঁচকিতে কোনো কিছু কামড়ানোর পর জায়গাটা আগুনের মতো গরম হয়ে আছে।,Urgent,Seek medical care within 24–48 hours
ত্বকের অ্যালার্জি হলে কি কোনো বিশেষ খাবার পরিহার করা জরুরি? তথ্য চাই।,General Query,"No immediate action required, informational response sufficient"
সারা শরীরে খুশকির মতো চামড়া উঠছে আর সারা রাত চুলকানির জন্য ঘুমানো যায় না।,Routine,Schedule a regular medical consultation
