source,text_or_tokens,detail,manual_category
severity,হুট করে সারা পিঠে আর বুকে লাল লাল ছোট ফোসকা বাইর হয়া তীব্র জ্বালাপোড়া করতাছে সোজা হইতে পারি না।,Urgent -> Routine,
severity,দা দিয়া হাত কাটার পর রক্ত বন্ধ হইছে কিন্তু জায়গাটা নীল হয়া ফুইলা গেছে আঙুল নাড়ানো যায় না।,Urgent -> Emergency,
severity,স্তনের নিচে একটা শক্ত দলা বা গিঁট অনুভব করতাছি যা চাপ দিলে রগে টান লাগার মতো ব্যথা করে।,Urgent -> Routine,
severity,"হাঁটুর হাড় মট করে শব্দ হয়ে ভেতরে ঢুকে গেছে আর পা একদম সোজা করতে পারছি না, প্রচণ্ড ব্যথা।",Emergency -> Urgent,
severity,"গলার গভীর টিস্যুতে মারাত্মক সেলুলাইটিস এবং শ্বাসনালী অবরুদ্ধ হওয়ার (airway compromise) ফলে রোগীর ভাইটালস আশঙ্কাজনকভাবে হ্রাস পাচ্ছে, যা অত্যন্ত জীবননাশী।",Emergency -> Urgent,
severity,চার-পাঁচ দিন ধইরা আমার পিঠের চামড়ায় বড় বড় চাকা উইঠা প্রচণ্ড চুলকানি আর কেমন জানি একটা মোচড় দেওয়া অস্বস্তি লেগেই আছে।,Urgent -> Routine,
severity,বগলে চুলকানির পর সেই জায়গাটা কালো হয়ে পুরু হয়ে গেছে (leather-like skin)।,Routine -> Urgent,
severity,বাচ্চার কাশির সময় পিঠে শব্দ হয় (wheezing) আর সে খুব অস্থির হয়ে থাকে।,Urgent -> Routine,
severity,শিশুর বিছানায় প্রস্রাব করার অভ্যাস (bedwetting) কত বছর পর্যন্ত স্বাভাবিক?,General Query -> Urgent,
severity,"রোগী চরম অবসাদ (fatigue), তীব্র এনার্জির ঘাটতি এবং মারাত্মক মাত্রায় লেথার্জি বা অলসতার সম্মুখীন হচ্ছেন।",Urgent -> Emergency,
severity,"গলার গভীর টিস্যুতে মারাত্মক সেলুলাইটিস এবং শ্বাসনালী অবরুদ্ধ হওয়ার (airway compromise) ফলে রোগীর ভাইটালস আশঙ্কাজনকভাবে হ্রাস পাচ্ছে, যা অত্যন্ত জীবননাশী।",Emergency -> Urgent,
severity,ঘাড়ের ব্যথার সাথে হাত অবশ হয়ে আসছে এবং আঙুলের জোর পাচ্ছি না।,Urgent -> Emergency,
severity,"হঠাৎ সারা মুখ আর চোখ ফুলে গেছে, কোনো কারণ বুঝতে পারছি না।",Urgent -> Emergency,
severity,গত দুইদিন ধরে প্রস্রাব এক ফোঁটাও হয় নাই শরীর ফুইলা বেলুন হয়া গেছে পেট শক্ত ড্রামের মতো।,Emergency -> Urgent,
severity,হুট করে সারা পিঠে আর বুকে লাল লাল ছোট ফোসকা বাইর হয়া তীব্র জ্বালাপোড়া করতাছে সোজা হইতে পারি না।,Urgent -> Routine,
severity,দা দিয়া হাত কাটার পর রক্ত বন্ধ হইছে কিন্তু জায়গাটা নীল হয়া ফুইলা গেছে আঙুল নাড়ানো যায় না।,Urgent -> Emergency,
severity,"নাকের ভেতর একটা মাংসপিণ্ড বাড়ছে মনে হয়, যার কারণে এক নাক দিয়া শ্বাস নিতে কষ্ট হয়।",Routine -> Urgent,
