Text,Categories,Action Needed
???? ?????? ?????? ???? ??? ???? ???? ???? ??? ????? ???? ??????? ???? ??????,Emergency,Immediately go to emergency department or call ambulance
?????? ????? ?????????? ????????? ???? ????? ??? ?????? (SPF) ?? ??????? ???????? ????? ????,General Query,"No immediate action required, informational response sufficient"
???? ???? ??? ??? ???????? ?????? ?? ??? ??????? ??? ????? ??????????? ????,Routine,Schedule a regular medical consultation
??????? ????? ????????? ?????? ??? ???? ???? ?? ??????? ?? ?? ?? ??? ????,Routine,Schedule a regular medical consultation
?????? ???????? ?????? ??????? ?? ????????? ????????? ???? ???? ???? ???? ???????,Emergency,Immediately go to emergency department or call ambulance
???? ?? ???? ?????????? ?????? ????? ??? ?????? ???????? ???????? ???? ?????????,General Query,"No immediate action required, informational response sufficient"
??????? ???? ???? ???? ???? ?? ??? ??? ??? ????? ??? ????? ?????? ?????? ????? ???? ???????,Urgent,Seek medical care within 24–48 hours
?????? ????? ???? ??? ???? (Acanthosis Nigricans) ?? ???????????? ?????? ???? ????,General Query,"No immediate action required, informational response sufficient"
???? ??? ???? ???? ????? ???? ???? ???? ???? ???? ?? ???? ? ??? ???? ???????,Emergency,Immediately go to emergency department or call ambulance
"???? ???? ?????? ??? ???? ???? ??? ?????? ????, ?? ????????? ?????? ??????? ???",General Query,"No immediate action required, informational response sufficient"
????? ???? ???? ??? ?????? ?????? ?? ??? ???? ???? ??? ?? ??? ??????? ??? ????? ?????,Urgent,Seek medical care within 24–48 hours
???????? ??? ?? ??????? ??????? ??????? ?????? ????? ? ????????????? ???????? ????? ????,General Query,"No immediate action required, informational response sufficient"
?????? ??????????? ???????? ????? ??? ????? ????? ???????? ????? ????? ??????? ?????????,General Query,"No immediate action required, informational response sufficient"
?????? ?????? ???????? ??? ???? ????????? ????? ??? ?????? ??? ???????,Urgent,Seek medical care within 24–48 hours
?????? ?? ????? ?????? ???? ??? ???? ??? ???? ???? ???? ?? ??? ???? ?????,Urgent,Seek medical care within 24–48 hours
????? ?????? ??? ????? ???? ???? ???? ???? ?? ????? ???? ???????? ??? ????,Routine,Schedule a regular medical consultation
?????? ????????? ???????? ???? ????????? ????? ????????? ????? ???????? ???? ????? ????,General Query,"No immediate action required, informational response sufficient"
???? ?????? ?????? ????? ????? ??? ??? ?????? ?? ??????? ??????????? ?????,Urgent,Seek medical care within 24–48 hours
???????? ?????? ???? ?????? ??? ?????? ?? ??????? ?????? ?????? ???,Emergency,Immediately go to emergency department or call ambulance
?????? ???? ??? ???? ???? ???? ????? ??? ????? ???????? ????????? ???? ??? ??????,Urgent,Seek medical care within 24–48 hours
??????? ???? ???????? ???? ?????? ???? ????????????? ????????? ?????? ????????? ???,General Query,"No immediate action required, informational response sufficient"
???? ??? ??? ????? ?? ?????? ????? (Skin Tag) ????? ?? ???? ????? ?????,General Query,"No immediate action required, informational response sufficient"
??????? ???? ???? ?????? ??? ????????? ??????? ??? ??? ???? ??????? ??????,Routine,Schedule a regular medical consultation
???? ??? ???? ????? ??? ??? ????? ????? ??? ??? ? ????? ?????? ??? ???????,Emergency,Immediately go to emergency department or call ambulance
?????? ?? ???????????? ??????? ??????????? ????? ?????? ????? ? ?????? ???????? ???? ????,General Query,"No immediate action required, informational response sufficient"
?????? ?????? ????? ??? ????? ??? ?????? ???? ???? ???? ??? ???? ?????,Emergency,Immediately go to emergency department or call ambulance
?????? ??????? ????? ?? ???? ??? ?????? ?? ???? ???????? ?????? ????? ????,General Query,"No immediate action required, informational response sufficient"
?????? ???????? ?????? ??? ??? ?? ???? ???? ????? ??? ????? ?? ???? ?????,Urgent,Seek medical care within 24–48 hours
???? ??????? ??? ??? ??? ??? ???? ?? ???? ???? ????? ?? ?????? ????,Routine,Schedule a regular medical consultation
?????? ???????? ??????? ??? ??? ??? ??? ?? ?????? ?????????? ???????? ????? ????,General Query,"No immediate action required, informational response sufficient"
???? ??? ???? ???????? ?????? ???? ??? ???? ???? ?? ????? ???? ??? ??????,Urgent,Seek medical care within 24–48 hours
?????? ?????? ???? ???? ??? ?? ???????? ?????? ???? ? ???????? ???????? ???? ????,General Query,"No immediate action required, informational response sufficient"
??????? ????? ??? ??? ???? ?????? ?? ????? ???? ???? ?????? ????? ????,Routine,Schedule a regular medical consultation
???????? ????????? ????????? ?? ??? ???????? ????? ??? ???? ???? ??? ?????? ???,Emergency,Immediately go to emergency department or call ambulance
?????????????? ????? ?? ???????? ????? ??????? ??? ??????? ?????? ???? ????,General Query,"No immediate action required, informational response sufficient"
????? ???? ????? ??????? ?? ????????? ???? ???????? ??? ??? ???? ????,Urgent,Seek medical care within 24–48 hours
?????? ?????? ?????? ?? ??????? ?????? ???? ?? ????????-???? ????? ??? ????,General Query,"No immediate action required, informational response sufficient"
"???? ???? ???? ???? ???? ????, ????? ????? ???? ? ????? ????????",Urgent,Seek medical care within 24–48 hours
???????? ??????? ?? ?? ?????? ????????? ?????? ?????? ? ??????? ????? ???????,General Query,"No immediate action required, informational response sufficient"
???? ????? ?? ???????? ??? ???????? ?????? ???????? ?????? ????????? ?? ???,General Query,"No immediate action required, informational response sufficient"
???? ???????? ??? ????? ?????? ???? ?? ????? ???? ?????? ?? ???? ????,General Query,"No immediate action required, informational response sufficient"
?????? ?????? ???? ???? ?????? ?? ?????? ??? ????? ??? ????? ?? ?????? ?????,Urgent,Seek medical care within 24–48 hours
?????? ?????? ???? ???? ?????? ???? ???? ???? ???? ??? ??? ????????,Routine,Schedule a regular medical consultation
?????? ?????????? ????? ???? ????? ??? ??? ??? ??? ????? ?? ?????? ???? ????,General Query,"No immediate action required, informational response sufficient"
???? ??? ?????? ?????? ????? ???? ???? ?? ???? ????? ???? ????? ???,Emergency,Immediately go to emergency department or call ambulance
??????? ??? ???? ?? ???? ??? ?????? ???? ? ?????? ??? ???????? ????? ????,General Query,"No immediate action required, informational response sufficient"
