source,text_or_tokens,detail,manual_category
severity,"হাঁটুর হাড় মট করে শব্দ হয়ে ভেতরে ঢুকে গেছে আর পা একদম সোজা করতে পারছি না, প্রচণ্ড ব্যথা।",Emergency -> Urgent,
severity,"হাতের তালু এবং পায়ের তলার ত্বক খসখসে হয়ে ফেটে হা হয়ে আছে, মরা চামড়ার ফাটল থেকে রক্ত বের হয়।",Urgent -> Routine,
severity,চার-পাঁচ দিন ধইরা আমার পিঠের চামড়ায় বড় বড় চাকা উইঠা প্রচণ্ড চুলকানি আর কেমন জানি একটা মোচড় দেওয়া অস্বস্তি লেগেই আছে।,Urgent -> Routine,
severity,বগলের ভেতরে সুঁই ফোটানোর মতো ব্যথা যা হাত নাড়ালে বুকের দিকে ছড়িয়ে যায়।,Routine -> Urgent,
severity,বাচ্চার তীব্র হাঁপানির টানে ইনহেলার কাজ করছে না এবং তার বুক দপদপ করছে।,Emergency -> Urgent,
severity,হঠাৎ করে সব কিছু দুটো দেখছেন আর তীব্র মাথা ঘোরার কারণে একা চলতে পারছি না।,Urgent -> Emergency,
severity,"হঠাৎ সারা মুখ আর চোখ ফুলে গেছে, কোনো কারণ বুঝতে পারছি না।",Urgent -> Emergency,
severity,গত দুইদিন ধরে প্রস্রাব এক ফোঁটাও হয় নাই শরীর ফুইলা বেলুন হয়া গেছে পেট শক্ত ড্রামের মতো।,Emergency -> Urgent,
severity,"হঠাৎ কইরা ডান কানে একদম শুনতে পারতাছি না, কোনো ব্যথা নাই কিন্তু পুরা নিস্তব্ধ হয়া গেছে।",Emergency -> Urgent,
severity,"নাকের ভেতর একটা মাংসপিণ্ড বাড়ছে মনে হয়, যার কারণে এক নাক দিয়া শ্বাস নিতে কষ্ট হয়।",Routine -> Urgent,
severity,"ঘুম থেইকা উইঠাই দেখি এক চোখের পাতা পুরা ঝুইলা পড়ছে, অনেক চেষ্টা করেও চোখ মেলতে পারতাছি না।",Emergency -> Urgent,
severity,"নাকের ভেতর একটা শক্ত মাংসপিণ্ড দেখা যাচ্ছে, যার কারণে ডান নাক দিয়ে একদমই দম নিতে পারছি না।",Urgent -> Emergency,
severity,নাকের হাড়ের ওপরে একটা শক্ত উঁচু মাংসপিণ্ড হয়েছে যা দিন দিন শক্ত হয়ে যাচ্ছে।,Urgent -> Routine,
severity,বগলের ভেতরে সুঁই ফোটানোর মতো ব্যথা যা হাত নাড়ালে বুকের দিকে ছড়িয়ে যায়।,Routine -> Urgent,
severity,হঠাৎ করে কথা জড়িয়ে যাচ্ছে আর হাসলে মুখের একপাশ বেঁকে যাচ্ছে।,Emergency -> Urgent,
severity,বাচ্চার জ্বর ১০৩ ডিগ্রি পার হয়ে গেছে এবং সে চোখ বন্ধ করে ঝিমোচ্ছে।,Urgent -> Emergency,
severity,হঠাৎ করে সব কিছু দুটো দেখছেন আর তীব্র মাথা ঘোরার কারণে একা চলতে পারছি না।,Urgent -> Emergency,
severity,"হঠাৎ সারা মুখ আর চোখ ফুলে গেছে, কোনো কারণ বুঝতে পারছি না।",Urgent -> Emergency,
severity,গত দুইদিন ধরে প্রস্রাব এক ফোঁটাও হয় নাই শরীর ফুইলা বেলুন হয়া গেছে পেট শক্ত ড্রামের মতো।,Emergency -> Urgent,
severity,পাথর হওয়ার ব্যথায় রোগী মেঝেতে লুটায়ে পড়ছে ব্যথাটা কোমর থেকে সামনের দিকে ছড়িয়ে যাচ্ছে।,Urgent -> Emergency,
severity,"হঠাৎ কইরা ডান কানে একদম শুনতে পারতাছি না, কোনো ব্যথা নাই কিন্তু পুরা নিস্তব্ধ হয়া গেছে।",Emergency -> Urgent,
severity,"নাকের ভেতর একটা মাংসপিণ্ড বাড়ছে মনে হয়, যার কারণে এক নাক দিয়া শ্বাস নিতে কষ্ট হয়।",Routine -> Urgent,
severity,গলার ভেতরে সাদা সাদা দাগ দেখা যাইতেছে আর মুখ দিয়া খুব দুর্গন্ধ বের হয়।,Routine -> Urgent,
severity,বগলের ভেতরে সুঁই ফোটানোর মতো ব্যথা যা হাত নাড়ালে বুকের দিকে ছড়িয়ে যায়।,Routine -> Urgent,
severity,হঠাৎ করে কথা জড়িয়ে যাচ্ছে আর হাসলে মুখের একপাশ বেঁকে যাচ্ছে।,Emergency -> Urgent,
severity,বাচ্চার জ্বর ১০৩ ডিগ্রি পার হয়ে গেছে এবং সে চোখ বন্ধ করে ঝিমোচ্ছে।,Urgent -> Emergency,
severity,বাচ্চার তীব্র হাঁপানির টানে ইনহেলার কাজ করছে না এবং তার বুক দপদপ করছে।,Emergency -> Urgent,
severity,হঠাৎ করে সব কিছু দুটো দেখছেন আর তীব্র মাথা ঘোরার কারণে একা চলতে পারছি না।,Urgent -> Emergency,
severity,"হঠাৎ সারা মুখ আর চোখ ফুলে গেছে, কোনো কারণ বুঝতে পারছি না।",Urgent -> Emergency,
severity,গত দুইদিন ধরে প্রস্রাব এক ফোঁটাও হয় নাই শরীর ফুইলা বেলুন হয়া গেছে পেট শক্ত ড্রামের মতো।,Emergency -> Urgent,
severity,পাথর হওয়ার ব্যথায় রোগী মেঝেতে লুটায়ে পড়ছে ব্যথাটা কোমর থেকে সামনের দিকে ছড়িয়ে যাচ্ছে।,Urgent -> Emergency,
